Item,Name,Category,Subsystem,Material,Qty,Sample IDs
39,"Fan Blade 4 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0004"
40,"Fan Blade 5 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0005"
41,"Fan Blade 6 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0006"
42,"Fan Blade 7 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0007"
43,"Fan Blade 8 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0008"
44,"Fan Blade 9 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0009"
45,"Fan Blade 10 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0010"
46,"Fan Blade 11 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0011"
47,"Fan Blade 12 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0012"
48,"Fan Blade 13 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0013"
49,"Fan Blade 14 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0014"
50,"Fan Blade 15 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0015"
51,"Fan Blade 16 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0016"
52,"Fan Front Retention Ring","FAN","RNG","Titanium Ti-6Al-4V",1,"GE9X-FAN-RNG-0001"
53,"Fan Rear Retention Ring","FAN","RNG","Titanium Ti-6Al-4V",1,"GE9X-FAN-RNG-0002"
54,"Fan Case (Composite)","FAN","CSG","Composite Carbon-Epoxy",1,"GE9X-FAN-CSG-0001"
55,"Fan Case Abradable Strip","FAN","ABR","ABS Plastic",1,"GE9X-FAN-ABR-0001"
56,"OGV 1","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0001"
57,"OGV 2","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0002"
58,"OGV 3","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0003"
59,"OGV 4","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0004"
60,"OGV 5","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0005"
61,"OGV 6","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0006"
62,"OGV 7","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0007"
63,"OGV 8","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0008"
64,"OGV 9","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0009"
65,"OGV 10","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0010"
66,"OGV 11","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0011"
67,"OGV 12","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0012"
68,"OGV 13","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0013"
69,"OGV 14","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0014"
70,"OGV 15","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0015"
71,"OGV 16","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0016"
72,"OGV 17","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0017"
73,"OGV 18","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0018"
74,"OGV 19","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0019"
75,"OGV 20","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0020"
76,"OGV 21","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0021"
77,"OGV 22","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0022"
78,"OGV 23","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0023"
79,"OGV 24","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0024"
80,"OGV 25","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0025"
81,"OGV 26","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0026"
82,"OGV 27","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0027"
83,"OGV 28","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0028"
84,"OGV 29","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0029"
85,"OGV 30","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0030"
86,"OGV 31","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0031"
87,"OGV 32","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0032"
88,"OGV 33","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0033"
89,"OGV 34","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0034"
90,"OGV 35","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0035"
91,"OGV 36","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0036"
92,"OGV 37","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0037"
93,"OGV 38","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0038"
94,"OGV 39","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0039"
95,"OGV 40","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0040"
96,"OGV 41","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0041"
97,"OGV 42","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0042"
98,"OGV 43","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0043"
99,"OGV 44","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0044"
100,"OGV 45","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0045"
101,"OGV 46","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0046"
102,"OGV 47","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0047"
103,"OGV 48","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0048"
104,"OGV 49","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0049"
105,"OGV 50","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0050"
106,"OGV 51","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0051"
107,"OGV 52","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0052"
108,"OGV 53","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0053"
109,"OGV 54","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0054"
110,"OGV 55","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0055"
111,"OGV 56","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0056"
112,"OGV 57","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0057"
113,"OGV 58","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0058"
114,"OGV 59","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0059"
115,"OGV 60","FAN","OGV","Composite Carbon-Epoxy",1,"GE9X-FAN-OGV-0060"
116,"Fan Case Strut 1","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0001"
117,"Fan Case Strut 2","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0002"
118,"Fan Case Strut 3","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0003"
119,"Fan Case Strut 4","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0004"
120,"Fan Case Strut 5","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0005"
121,"Fan Case Strut 6","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0006"
122,"Fan Case Strut 7","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0007"
123,"Fan Case Strut 8","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0008"
124,"Fan Case Strut 9","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0009"
125,"Fan Case Strut 10","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0010"
126,"Fan Case Strut 11","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0011"
127,"Fan Case Strut 12","FAN","STR","Titanium Ti-6Al-4V",1,"GE9X-FAN-STR-0012"
128,"Fan Blade 1 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0001"
129,"Fan Blade 1 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0002"
130,"Fan Blade 2 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0003"
131,"Fan Blade 2 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0004"
132,"Fan Blade 3 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0005"
133,"Fan Blade 3 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0006"
134,"Fan Blade 4 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0007"
135,"Fan Blade 4 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0008"
136,"Fan Blade 5 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0009"
137,"Fan Blade 5 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0010"
138,"Fan Blade 6 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0011"
139,"Fan Blade 6 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0012"
140,"Fan Blade 7 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0013"
141,"Fan Blade 7 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0014"
142,"Fan Blade 8 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0015"
143,"Fan Blade 8 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0016"
144,"Fan Blade 9 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0017"
145,"Fan Blade 9 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0018"
146,"Fan Blade 10 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0019"
147,"Fan Blade 10 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0020"
148,"Fan Blade 11 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0021"
149,"Fan Blade 11 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0022"
150,"Fan Blade 12 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0023"
151,"Fan Blade 12 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0024"
152,"Fan Blade 13 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0025"
153,"Fan Blade 13 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0026"
154,"Fan Blade 14 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0027"
155,"Fan Blade 14 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0028"
156,"Fan Blade 15 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0029"
157,"Fan Blade 15 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0030"
158,"Fan Blade 16 Pin 1","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0031"
159,"Fan Blade 16 Pin 2","FAN","PIN","Steel AISI 4340",1,"GE9X-FAN-PIN-0032"
160,"LPC Stator S1-1","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0001"
161,"LPC Stator S1-2","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0002"
162,"LPC Stator S1-3","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0003"
163,"LPC Stator S1-4","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0004"
164,"LPC Stator S1-5","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0005"
165,"LPC Stator S1-6","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0006"
166,"LPC Stator S1-7","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0007"
167,"LPC Stator S1-8","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0008"
168,"LPC Stator S1-9","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0009"
169,"LPC Stator S1-10","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0010"
170,"LPC Stator S1-11","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0011"
171,"LPC Stator S1-12","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0012"
172,"LPC Stator S1-13","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0013"
173,"LPC Stator S1-14","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0014"
174,"LPC Stator S1-15","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0015"
175,"LPC Stator S1-16","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0016"
176,"LPC Stator S1-17","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0017"
177,"LPC Stator S1-18","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0018"
178,"LPC Stator S1-19","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0019"
179,"LPC Stator S1-20","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0020"
180,"LPC Stator S1-21","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0021"
181,"LPC Stator S1-22","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0022"
182,"LPC Stator S1-23","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0023"
183,"LPC Stator S1-24","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0024"
184,"LPC Stator S1-25","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0025"
185,"LPC Stator S1-26","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0026"
186,"LPC Stator S1-27","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0027"
187,"LPC Stator S1-28","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0028"
188,"LPC Stator S1-29","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0029"
189,"LPC Stator S1-30","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0030"
190,"LPC Stator S1-31","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0031"
191,"LPC Stator S1-32","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0032"
192,"LPC Stator S1-33","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0033"
193,"LPC Stator S1-34","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0034"
194,"LPC Stator S1-35","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0035"
195,"LPC Stator S1-36","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0036"
196,"LPC Stator S1-37","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0037"
197,"LPC Stator S1-38","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0038"
198,"LPC Stator S1-39","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0039"
199,"LPC Stator S1-40","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0040"
200,"LPC Stator S1-41","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0041"
201,"LPC Stator S1-42","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0042"
202,"LPC Stator S1-43","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0043"
203,"LPC Stator S1-44","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0044"
204,"LPC Stator S1-45","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0045"
205,"LPC Stator S1-46","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0046"
206,"LPC Stator S1-47","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0047"
207,"LPC Stator S1-48","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0048"
208,"LPC Stator S1-49","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0049"
209,"LPC Stator S1-50","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0050"
210,"LPC Stator S1-51","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0051"
211,"LPC Stator S1-52","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0052"
212,"LPC Stator S1-53","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0053"
213,"LPC Stator S1-54","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0054"
214,"LPC Stator S1-55","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0055"
215,"LPC Stator S1-56","LPC","STA","Titanium Ti-6Al-4V",1,"GE9X-LPC-STA-0056"
216,"LPC S1 Disk","LPC","DSK","Titanium Ti-6Al-4V",1,"GE9X-LPC-DSK-0001"
217,"LPC Rotor S1-1","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0001"
218,"LPC Rotor S1-2","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0002"
219,"LPC Rotor S1-3","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0003"
220,"LPC Rotor S1-4","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0004"
221,"LPC Rotor S1-5","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0005"
222,"LPC Rotor S1-6","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0006"
223,"LPC Rotor S1-7","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0007"
224,"LPC Rotor S1-8","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0008"
225,"LPC Rotor S1-9","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0009"
226,"LPC Rotor S1-10","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0010"
227,"LPC Rotor S1-11","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0011"
228,"LPC Rotor S1-12","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0012"
229,"LPC Rotor S1-13","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0013"
230,"LPC Rotor S1-14","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0014"
231,"LPC Rotor S1-15","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0015"
232,"LPC Rotor S1-16","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0016"
233,"LPC Rotor S1-17","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0017"
234,"LPC Rotor S1-18","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0018"
235,"LPC Rotor S1-19","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0019"
236,"LPC Rotor S1-20","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0020"
237,"LPC Rotor S1-21","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0021"
238,"LPC Rotor S1-22","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0022"
239,"LPC Rotor S1-23","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0023"
240,"LPC Rotor S1-24","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0024"
241,"LPC Rotor S1-25","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0025"
242,"LPC Rotor S1-26","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0026"
243,"LPC Rotor S1-27","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0027"
244,"LPC Rotor S1-28","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0028"
245,"LPC Rotor S1-29","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0029"
246,"LPC Rotor S1-30","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0030"
247,"LPC Rotor S1-31","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0031"
248,"LPC Rotor S1-32","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0032"
249,"LPC Rotor S1-33","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0033"
250,"LPC Rotor S1-34","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0034"
251,"LPC Rotor S1-35","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0035"
252,"LPC Rotor S1-36","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0036"
253,"LPC Rotor S1-37","LPC","BLD","Titanium Ti-6Al-4V",1,"GE9X-LPC-BLD-0037"
